product_name,category,price,quantity,total_sales,discount,order_date,customer_rating,payment_method,supplier_name,profit,customer_segment,region,city,customer_id,product_id,order_id,supplier_id
Educational Book,Books,49069.56,2,98139.12,11,2024/09/12,3.5,Debit Card,Kodansha,19627.824,Online,West,Mumbai,CUSID0001,PROD0001,ORD00001,SUPID0001
Jeans,Clothing,12755.85,4,51023.4,24,2024/12/18,3.9,UPI,Uniqlo,10204.68,Wholesale,North,Jaipur,CUSID0002,PROD0002,ORD00002,SUPID0002
Face Cream,Beauty,11092.19,4,44368.76,19,2024/05/18,4.4,Debit Card,Shiseido,8873.752,Online,South,Bengaluru,CUSID0003,PROD0003,ORD00003,SUPID0003
Smartwatch,Electronics,32657.81,1,32657.81,15,2024/11/08,3.2,Debit Card,Sony,6531.562,Online,North,Jaipur,CUSID0004,PROD0004,ORD00004,SUPID0004
Cookware Set,Home & Kitchen,26590.08,3,79770.24,12,2024/12/27,3.1,UPI,Zojirushi,15954.048,Retail,North,Delhi,CUSID0005,PROD0005,ORD00005,SUPID0005
Mixer Grinder,Home & Kitchen,10475.03,2,20950.06,25,2024/10/22,1.7,Wallet,Zojirushi,4190.012,Wholesale,North,Delhi,CUSID0006,PROD0006,ORD00006,SUPID0006
Sneakers,Clothing,38647.72,3,115943.16,11,2024/07/04,2,Wallet,Uniqlo,23188.632,Wholesale,North,Delhi,CUSID0007,PROD0007,ORD00007,SUPID0007
Table Lamp,Home & Kitchen,24818.59,3,74455.77,30,2024/12/27,2.4,Debit Card,Zojirushi,14891.154,Wholesale,South,Bengaluru,CUSID0008,PROD0008,ORD00008,SUPID0008
Jacket,Clothing,1987.39,2,3974.78,23,2025/01/18,2.6,Debit Card,Uniqlo,794.956,Online,North,Delhi,CUSID0009,PROD0009,ORD00009,SUPID0009
Tablet,Electronics,26876.51,2,53753.02,27,2024/03/14,4,Debit Card,Sony,10750.604,Online,North,Jaipur,CUSID0010,PROD0010,ORD00010,SUPID0010
Perfume,Beauty,46409.57,5,232047.85,15,2025/02/08,2.3,UPI,Shiseido,46409.57,Online,West,Mumbai,CUSID0011,PROD0011,ORD00011,SUPID0011
Lipstick,Beauty,48780.78,5,243903.9,15,2024/04/13,1.3,UPI,Shiseido,48780.78,Retail,South,Bengaluru,CUSID0012,PROD0012,ORD00012,SUPID0012
Educational Book,Books,6670.82,5,33354.1,28,2024/02/23,1.2,COD,Kodansha,6670.82,Online,South,Chennai,CUSID0013,PROD0013,ORD00013,SUPID0013
Smartphone,Electronics,10826.05,1,10826.05,25,2024/06/02,3.7,Wallet,Panasonic,2165.21,Retail,East,Kolkata,CUSID0014,PROD0014,ORD00014,SUPID0014
Comic Book,Books,6839.1,1,6839.1,8,2024/09/12,1.6,Credit Card,Kodansha,1367.82,Wholesale,South,Bengaluru,CUSID0015,PROD0015,ORD00015,SUPID0015
Mixer Grinder,Home & Kitchen,18197.89,5,90989.45,12,2024/03/30,1.6,Debit Card,Zojirushi,18197.89,Online,South,Chennai,CUSID0016,PROD0016,ORD00016,SUPID0016
Cookbook,Books,20817.46,2,41634.92,28,2024/03/30,2.3,Debit Card,Kodansha,8326.984,Retail,East,Kolkata,CUSID0017,PROD0017,ORD00017,SUPID0017
Perfume,Beauty,44061.25,4,176245,7,2024/04/22,2.5,COD,Shiseido,35249,Retail,South,Chennai,CUSID0018,PROD0018,ORD00018,SUPID0018
Cookbook,Books,4398.59,5,21992.95,26,2024/03/22,4,Wallet,Kodansha,4398.59,Online,South,Bengaluru,CUSID0019,PROD0019,ORD00019,SUPID0019
T-Shirt,Clothing,32565.77,5,162828.85,25,2025/01/06,4.4,COD,Uniqlo,32565.77,Wholesale,South,Chennai,CUSID0020,PROD0020,ORD00020,SUPID0020
Cookware Set,Home & Kitchen,47529.36,1,47529.36,6,2024/07/09,4.5,Net Banking,Zojirushi,9505.872,Wholesale,South,Chennai,CUSID0021,PROD0021,ORD00021,SUPID0021
Jeans,Clothing,37129.73,3,111389.19,28,2025/01/22,4.3,Wallet,Uniqlo,22277.838,Wholesale,East,Kolkata,CUSID0022,PROD0022,ORD00022,SUPID0022
Educational Book,Books,48258.19,4,193032.76,16,2024/06/23,1.6,UPI,Kodansha,38606.552,Retail,South,Bengaluru,CUSID0023,PROD0023,ORD00023,SUPID0023
Bedsheet,Home & Kitchen,32505.96,1,32505.96,10,2024/03/19,2.8,Wallet,Zojirushi,6501.192,Retail,South,Chennai,CUSID0024,PROD0024,ORD00024,SUPID0024
Cookware Set,Home & Kitchen,4165.64,2,8331.28,6,2024/11/24,1.1,COD,Zojirushi,1666.256,Retail,East,Kolkata,CUSID0025,PROD0025,ORD00025,SUPID0025
T-Shirt,Clothing,2053.11,4,8212.44,25,2024/07/23,3.4,COD,Uniqlo,1642.488,Retail,West,Ahemdabad,CUSID0026,PROD0026,ORD00026,SUPID0026
Jeans,Clothing,38927.62,4,155710.48,5,2024/08/24,2.5,Wallet,Uniqlo,31142.096,Wholesale,North,Delhi,CUSID0027,PROD0027,ORD00027,SUPID0027
Mixer Grinder,Home & Kitchen,28978.47,4,115913.88,16,2024/07/21,2.3,UPI,Zojirushi,23182.776,Online,West,Mumbai,CUSID0028,PROD0028,ORD00028,SUPID0028
Lipstick,Beauty,21293.42,5,106467.1,30,2024/04/16,2.2,Wallet,Shiseido,21293.42,Retail,East,Kolkata,CUSID0029,PROD0029,ORD00029,SUPID0029
Lipstick,Beauty,49097.01,4,196388.04,26,2024/08/05,3.7,Credit Card,Shiseido,39277.608,Retail,North,Delhi,CUSID0030,PROD0030,ORD00030,SUPID0030
Perfume,Beauty,47651.19,1,47651.19,16,2024/04/14,3.6,Net Banking,Shiseido,9530.238,Wholesale,East,Kolkata,CUSID0031,PROD0031,ORD00031,SUPID0031
Hair Dryer,Beauty,15046.01,5,75230.05,29,2024/10/17,1.1,COD,Shiseido,15046.01,Online,East,Kolkata,CUSID0032,PROD0032,ORD00032,SUPID0032
Laptop,Electronics,36980.1,3,110940.3,21,2024/10/01,3.2,COD,Panasonic,22188.06,Online,South,Chennai,CUSID0033,PROD0033,ORD00033,SUPID0033
